Kecamatan,Kelurahan,3/27/2020,3/28/2020
Sidorejo,Blotongan,6,6
Sidorejo,Bugel,1,1
Argomulyo,Cebongan,5,9
Sidomukti,Dukuh,38,40
Tingkir,Gendongan,5,7
Tingkir,Kalibening,1,1
Sidomukti,Kalicacing,4,4
Sidorejo,Kauman Kidul,0,1
Sidomukti,Kecandran,5,8
Argomulyo,Kumpulrejo,3,3
Tingkir,Kutowinangun Kidul,5,7
Tingkir,Kutowinangun Lor,3,8
Argomulyo,Ledok,10,10
Sidomukti,Mangunsari,39,44
Argomulyo,Noborejo,1,3
Sidorejo,Pulutan,4,4
Argomulyo,Randuacir,1,3
Sidorejo,Salatiga,7,7
Tingkir,Sidorejo Kidul,13,15
Sidorejo,Sidorejo Lor,23,25
Argomulyo,Tegalrejo,6,6
Tingkir,Tingkir Lor,0,0
Tingkir,Tingkir Tengah,0,2